epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2116,1.61551,1.63126,1.8026,0.86243,0.90849,0.95064,0.63812,1.24693,0.68819,1.35979,0.070229,0.00330789,0.00330789
2,101.669,1.25733,0.7522,1.28356,0.88096,0.90371,0.95744,0.61768,1.25403,0.57744,1.38129,0.0400975,0.00650973,0.00650973
3,150.593,1.26828,0.78245,1.28857,0.87357,0.91915,0.95986,0.61948,1.26149,0.79083,1.39753,0.00983402,0.00957956,0.00957956
4,199.13,1.28017,0.71681,1.29612,0.88893,0.93316,0.96586,0.66533,1.13873,0.81257,1.30328,0.009406,0.009406,0.009406
5,249.392,1.20766,0.69353,1.25596,0.90082,0.931,0.96989,0.67741,1.11914,0.5742,1.27424,0.009208,0.009208,0.009208
6,300.297,1.1893,0.65909,1.25618,0.90742,0.926,0.9725,0.68538,1.11461,0.54178,1.27108,0.00901,0.00901,0.00901
7,350.42,1.17912,0.63867,1.24128,0.90721,0.92365,0.97153,0.67743,1.1364,0.52003,1.2957,0.008812,0.008812,0.008812
8,399.179,1.16887,0.62033,1.24519,0.89925,0.93785,0.96974,0.69123,1.07216,0.54606,1.24324,0.008614,0.008614,0.008614
9,449.644,1.13796,0.61003,1.21842,0.89629,0.94409,0.97271,0.68941,1.10218,0.58287,1.25698,0.008416,0.008416,0.008416
10,498.046,1.13114,0.59674,1.22326,0.90784,0.94007,0.97526,0.7093,1.04507,0.49654,1.22337,0.008218,0.008218,0.008218
11,548.753,1.11185,0.57916,1.20035,0.91358,0.94152,0.9757,0.70856,1.06055,0.49131,1.22553,0.00802,0.00802,0.00802
12,596.826,1.10245,0.57984,1.1931,0.90125,0.94859,0.97312,0.71664,1.03488,0.48208,1.21473,0.007822,0.007822,0.007822
13,647.385,1.08196,0.56316,1.1845,0.91497,0.93365,0.97611,0.70834,1.03528,0.4803,1.21991,0.007624,0.007624,0.007624
14,695.423,1.0741,0.55473,1.18409,0.9192,0.93584,0.97715,0.71992,1.03292,0.4693,1.20883,0.007426,0.007426,0.007426
15,745.955,1.06123,0.56074,1.17368,0.91555,0.94759,0.97538,0.71501,1.02102,0.46991,1.20282,0.007228,0.007228,0.007228
16,793.49,1.05396,0.54357,1.16676,0.91805,0.94987,0.97935,0.72826,1.01275,0.44249,1.19532,0.00703,0.00703,0.00703
17,843.791,1.03431,0.52604,1.15956,0.9314,0.95084,0.98097,0.73012,0.99807,0.43963,1.18849,0.006832,0.006832,0.006832
18,894.087,1.03658,0.52411,1.15831,0.91568,0.95212,0.97931,0.73063,0.99346,0.43954,1.18456,0.006634,0.006634,0.006634
19,944.488,1.02686,0.5258,1.16325,0.92925,0.94968,0.98053,0.73876,0.97515,0.43602,1.17689,0.006436,0.006436,0.006436
20,995.282,1.012,0.51134,1.14863,0.92226,0.95566,0.98054,0.73521,0.96398,0.42172,1.16909,0.006238,0.006238,0.006238
21,1043.12,0.99566,0.50873,1.13352,0.92279,0.95276,0.97792,0.73535,0.95922,0.42159,1.16822,0.00604,0.00604,0.00604
22,1091.52,0.99304,0.50582,1.13271,0.92651,0.95405,0.97873,0.73533,0.95373,0.41971,1.16371,0.005842,0.005842,0.005842
23,1139.77,0.97714,0.49335,1.1246,0.93709,0.94987,0.98186,0.74586,0.95767,0.40649,1.16623,0.005644,0.005644,0.005644
24,1190.48,0.96666,0.48634,1.1145,0.93143,0.94726,0.98097,0.74224,0.9553,0.4173,1.16677,0.005446,0.005446,0.005446
25,1238.46,0.96916,0.48428,1.12774,0.93628,0.94897,0.98159,0.75806,0.93843,0.40051,1.155,0.005248,0.005248,0.005248
26,1288.56,0.96302,0.47816,1.11554,0.92761,0.96112,0.98229,0.74812,0.93573,0.39923,1.15228,0.00505,0.00505,0.00505
27,1336.57,0.9494,0.47229,1.11505,0.94099,0.9479,0.98287,0.75685,0.93248,0.39111,1.14897,0.004852,0.004852,0.004852
28,1384.95,0.93868,0.46459,1.10336,0.93243,0.95783,0.98118,0.76165,0.92877,0.39138,1.15032,0.004654,0.004654,0.004654
29,1434.96,0.92462,0.45386,1.09896,0.94243,0.95566,0.98254,0.7674,0.9112,0.38599,1.14008,0.004456,0.004456,0.004456
30,1485.01,0.9255,0.45765,1.10574,0.94043,0.96851,0.98587,0.76351,0.90449,0.36872,1.13407,0.004258,0.004258,0.004258
31,1533.33,0.90609,0.44788,1.08811,0.93337,0.95884,0.98332,0.76488,0.90304,0.38211,1.13628,0.00406,0.00406,0.00406
32,1581.94,0.89981,0.44618,1.08517,0.94513,0.963,0.98543,0.76623,0.89756,0.36547,1.12923,0.003862,0.003862,0.003862
33,1630.13,0.89408,0.44417,1.09051,0.9343,0.9608,0.98259,0.77099,0.88095,0.37109,1.12313,0.003664,0.003664,0.003664
34,1680.37,0.87646,0.43016,1.06664,0.93481,0.97227,0.98475,0.77307,0.87341,0.36105,1.11658,0.003466,0.003466,0.003466
